# ==========================================================================
#  ROSSVILLE, ILLINOIS - THE TOWN ON ITS OWN STREET GRID
#
#  Not a grid that looks like Rossville - the actual one, taken from
#  OpenStreetMap and converted to metres about the crossing of Chicago Street
#  and Attica Street. That crossing is where the village numbers its addresses
#  from: East Attica ends and West Attica begins on exactly that longitude,
#  which is how the origin was found rather than assumed.
#
#  TWO THINGS THE REAL DATA GAVE THAT GUESSING WOULD NOT:
#
#    THE TOWN IS MOSTLY EAST OF ROUTE 1 - 780m east of Chicago Street and only
#    224m west. A symmetrical grid would have been wrong in a way you would feel
#    without being able to name it.
#
#    THE SPACING IS IRREGULAR - 104m Chicago to Harrison, 109 to Church, then
#    186 to Summit and 181 to Grove. Blocks average about 113m, not the 91m a
#    textbook 300-foot block gives, and the variation IS the character.
#
#  Several streets change name as they cross Route 1: McKibben east is McKibbin
#  west, Maple is Park Place, Gilbert is Perry, Stewart is Stufflebeam. Each is
#  emitted once under its eastern name, because the town is mostly east.
#
#  ONE SET OF LIGHTS, at Chicago and Attica. CitySignals requires both arms to be
#  a main road, so every other junction in the village is a stop sign.
#
#  THE WATER TOWER AND THE GRAIN ELEVATOR are the skyline. No tower block.
#
#  THE COUNTRY IS NEARLY EMPTY OF PEOPLE and that is right: Ross Township holds
#  1,617 against the village's 1,331, so 286 are spread over 42 square miles.
#  Seven to the square mile. It only adds up at county scale.
#
#  GROWS NORTH AND SOUTH: Chicago Street runs the full height of the map because
#  Hoopeston is six miles up it and Alvin five miles down it.
#
#  BOOTSTRAPPED by tools/relay-rossville.py on 2026-08-02; street positions in
#  tools/rossville-streets.json. THAT TOOL NO LONGER OWNS THIS FILE. Everything
#  since is authored here and here only - the roads moved onto their real rights
#  of way, fifteen alleys, Chicago Street's curve, the school, the downtown, the
#  1991 trades - and re-running the tool would replace the lot with a bootstrap.
#  It refuses to, and needs --write to be argued with. Edit THIS file.
# ==========================================================================

village Rossville
size 2100 2400

# ---- ground ---------------------------------------------------------------
# Field under everything - corn and beans to the horizon - grass over the village
# lots, and pavement ONLY at the crossroads. That last is load-bearing: CitySignals
# asks the ground at a junction's diagonals whether it is in a town, so paving the
# whole village would put lights on every corner of it.
terrain field 0,0 2100x2400
terrain grass 476,679 1074x1581
terrain path 724,1309 52x52

# ---- the real water --------------------------------------------------------
# The North Fork Vermilion River and the three ponds behind the school campus,
# rasterised from the SAME OpenStreetMap shapes in Content/features.txt that the
# survey plan draws - so what you see traced on the plan is what is on the ground.
# These rows came from the bootstrap and are derived from features.txt rather than
# chosen - but the tool that made them no longer owns this file (see the header), so
# "re-run it" is not the way to change them any more. Edit them here, and keep them
# agreeing with features.txt by hand.
#
# Water is not walkable and blocks sight, so it is stamped BEFORE the roads and the
# places, both of which overwrite it - which is what keeps a road crossing the river
# a crossing instead of a hole, and is why the country lots below refuse to sit on it.
# 1009 rectangles over 44,866 tiles.
terrain water 95,692 10x12
terrain water 85,693 10x12
terrain water 105,693 1x16
terrain water 82,694 3x12
terrain water 106,694 1x16
terrain water 80,695 2x13
terrain water 107,695 1x16
terrain water 78,696 2x13
terrain water 108,696 2x16
terrain water 76,697 2x13
terrain water 110,697 1x22
terrain water 74,698 2x13
terrain water 111,698 1x33
terrain water 72,699 2x13
terrain water 112,699 1x109
terrain water 70,700 2x13
terrain water 113,700 1x110
terrain water 68,701 2x13
terrain water 114,701 1x111
terrain water 66,702 2x13
terrain water 115,702 1x112
terrain water 63,703 3x12
terrain water 116,703 1x112
terrain water 60,704 3x12
terrain water 95,704 1x1
terrain water 101,704 4x1
terrain water 117,704 1x113
terrain water 57,705 3x12
terrain water 85,705 1x1
terrain water 102,705 3x1
terrain water 118,705 1x113
terrain water 54,706 3x12
terrain water 82,706 2x1
terrain water 103,706 2x1
terrain water 119,706 1x84
terrain water 51,707 3x12
terrain water 104,707 1x1
terrain water 120,707 1x78
terrain water 48,708 3x12
terrain water 45,709 3x12
terrain water 121,709 1x72
terrain water 42,710 3x12
terrain water 39,711 3x12
terrain water 0,712 3x12
terrain water 35,712 4x12
terrain water 109,712 1x1
terrain water 3,713 3x12
terrain water 32,713 3x12
terrain water 6,714 26x12
terrain water 63,715 2x1
terrain water 60,716 2x1
terrain water 57,717 2x1
terrain water 54,718 2x1
terrain water 51,719 2x1
terrain water 122,719 1x25
terrain water 48,720 2x1
terrain water 45,721 2x1
terrain water 42,722 2x1
terrain water 39,723 1x1
terrain water 1,724 2x1
terrain water 35,724 2x1
terrain water 4,725 2x1
terrain water 32,725 2x1
terrain water 123,731 1x3
terrain water 111,733 1x73
terrain water 110,744 1x26
terrain water 122,770 1x7
terrain water 110,775 1x29
terrain water 109,780 1x23
terrain water 108,784 1x17
terrain water 107,788 1x11
terrain water 106,792 1x5
terrain water 119,796 1x23
terrain water 120,798 1x23
terrain water 121,800 1x22
terrain water 122,801 1x22
terrain water 123,803 1x21
terrain water 124,805 1x26
terrain water 125,807 1x32
terrain water 126,809 1x36
terrain water 127,810 1x38
terrain water 128,811 1x40
terrain water 129,813 1x41
terrain water 130,814 1x43
terrain water 131,815 1x43
terrain water 132,816 1x43
terrain water 133,818 1x42
terrain water 134,819 1x42
terrain water 135,823 1x39
terrain water 136,830 1x33
terrain water 137,838 1x25
terrain water 138,843 1x21
terrain water 139,846 1x21
terrain water 140,849 1x22
terrain water 141,851 1x23
terrain water 142,852 1x26
terrain water 143,853 1x68
terrain water 144,854 1x66
terrain water 145,855 2x64
terrain water 147,856 1x63
terrain water 148,857 1x61
terrain water 149,859 1x59
terrain water 150,862 1x55
terrain water 151,866 1x51
terrain water 152,869 1x47
terrain water 153,873 1x40
terrain water 154,876 1x23
terrain water 142,899 1x22
terrain water 40,903 3x14
terrain water 37,904 3x16
terrain water 43,904 7x12
terrain water 36,905 1x19
terrain water 50,905 8x12
terrain water 58,906 7x12
terrain water 35,907 1x18
terrain water 65,907 7x12
terrain water 34,908 1x18
terrain water 72,908 7x12
terrain water 141,908 1x14
terrain water 33,909 1x18
terrain water 79,909 8x12
terrain water 139,909 2x13
terrain water 32,910 1x20
terrain water 87,910 7x12
terrain water 137,910 2x13
terrain water 31,911 1x24
terrain water 94,911 7x12
terrain water 135,911 2x13
terrain water 30,912 1x28
terrain water 101,912 7x12
terrain water 133,912 2x13
terrain water 29,913 1x32
terrain water 108,913 7x12
terrain water 130,913 3x12
terrain water 115,914 7x12
terrain water 127,914 3x12
terrain water 28,915 1x50
terrain water 122,915 5x12
terrain water 27,916 1x48
terrain water 49,916 1x1
terrain water 26,917 1x46
terrain water 40,917 2x1
terrain water 57,917 1x1
terrain water 25,918 1x44
terrain water 40,918 1x1
terrain water 64,918 1x1
terrain water 24,919 1x42
terrain water 71,919 1x1
terrain water 145,919 1x1
terrain water 23,920 1x40
terrain water 37,920 2x1
terrain water 22,921 1x37
terrain water 37,921 1x2
terrain water 86,921 1x1
terrain water 93,922 1x1
terrain water 139,922 1x1
terrain water 100,923 1x1
terrain water 137,923 1x1
terrain water 21,924 1x33
terrain water 107,924 1x1
terrain water 114,925 1x1
terrain water 130,925 2x1
terrain water 121,926 1x1
terrain water 127,926 2x1
terrain water 20,929 1x26
terrain water 19,934 1x19
terrain water 18,939 1x13
terrain water 17,944 1x6
terrain water 277,946 6x38
terrain water 29,947 1x20
terrain water 272,947 5x37
terrain water 283,947 9x37
terrain water 30,948 1x20
terrain water 266,948 6x36
terrain water 292,948 9x36
terrain water 261,949 5x35
terrain water 301,949 9x36
terrain water 31,950 1x19
terrain water 258,950 3x34
terrain water 310,950 3x35
terrain water 257,951 1x33
terrain water 313,951 1x34
terrain water 32,952 1x18
terrain water 255,952 2x31
terrain water 314,952 1x33
terrain water 33,953 1x18
terrain water 254,953 1x30
terrain water 315,953 1x32
terrain water 34,954 1x18
terrain water 253,954 1x29
terrain water 35,955 1x18
terrain water 251,955 2x28
terrain water 316,955 1x30
terrain water 36,956 1x18
terrain water 250,956 1x27
terrain water 317,956 1x28
terrain water 249,957 1x26
terrain water 318,957 1x26
terrain water 37,958 1x16
terrain water 248,958 1x25
terrain water 319,958 1x24
terrain water 38,959 1x15
terrain water 246,959 2x16
terrain water 320,959 1x22
terrain water 39,960 1x15
terrain water 245,960 1x9
terrain water 321,960 1x20
terrain water 40,961 1x14
terrain water 244,961 1x3
terrain water 322,961 1x18
terrain water 41,962 1x13
terrain water 323,962 1x16
terrain water 42,963 4x12
terrain water 46,964 5x12
terrain water 51,965 5x12
terrain water 56,966 5x12
terrain water 61,967 5x17
terrain water 66,968 1x26
terrain water 67,969 1x27
terrain water 68,970 1x28
terrain water 69,973 1x27
terrain water 45,975 1x1
terrain water 70,975 1x27
terrain water 247,975 1x6
terrain water 50,976 1x1
terrain water 55,977 1x1
terrain water 71,977 1x27
terrain water 59,978 2x1
terrain water 60,979 1x3
terrain water 72,979 1x27
terrain water 73,981 1x29
terrain water 74,983 1x31
terrain water 62,984 4x2
terrain water 299,984 2x1
terrain water 75,985 1x33
terrain water 63,986 3x2
terrain water 76,987 1x35
terrain water 64,988 2x2
terrain water 77,989 1x38
terrain water 65,990 1x2
terrain water 78,991 1x45
terrain water 79,993 1x51
terrain water 80,995 1x58
terrain water 81,997 1x64
terrain water 82,999 1x171
terrain water 83,1001 1x180
terrain water 84,1004 1x211
terrain water 85,1008 1x206
terrain water 86,1012 1x202
terrain water 87,1016 1x105
terrain water 313,1018 1x219
terrain water 88,1020 1x94
terrain water 312,1020 1x217
terrain water 314,1022 1x214
terrain water 311,1023 1x214
terrain water 315,1025 1x209
terrain water 310,1026 1x210
terrain water 89,1027 1x79
terrain water 316,1028 1x205
terrain water 309,1029 1x207
terrain water 317,1031 1x200
terrain water 308,1032 1x203
terrain water 318,1034 1x196
terrain water 90,1035 1x64
terrain water 307,1035 1x199
terrain water 319,1037 1x191
terrain water 306,1039 1x195
terrain water 320,1040 1x187
terrain water 305,1042 1x191
terrain water 91,1043 1x49
terrain water 321,1044 1x181
terrain water 304,1045 1x188
terrain water 322,1047 1x177
terrain water 303,1048 1x184
terrain water 323,1050 1x162
terrain water 302,1051 1x181
terrain water 92,1052 1x32
terrain water 324,1053 1x29
terrain water 301,1054 1x177
terrain water 325,1056 1x23
terrain water 300,1057 1x172
terrain water 326,1059 1x16
terrain water 93,1060 1x17
terrain water 299,1060 1x167
terrain water 327,1062 1x10
terrain water 298,1064 1x161
terrain water 328,1066 1x3
terrain water 297,1067 1x156
terrain water 296,1070 1x151
terrain water 295,1073 1x146
terrain water 81,1076 1x88
terrain water 294,1076 1x141
terrain water 293,1079 1x136
terrain water 292,1082 1x131
terrain water 80,1083 1x74
terrain water 324,1083 1x118
terrain water 291,1086 1x125
terrain water 325,1087 1x113
terrain water 290,1089 1x120
terrain water 79,1091 1x60
terrain water 289,1092 1x115
terrain water 326,1092 1x107
terrain water 288,1095 1x110
terrain water 327,1097 1x101
terrain water 78,1098 1x46
terrain water 287,1098 1x105
terrain water 286,1101 1x100
terrain water 328,1101 1x96
terrain water 285,1104 1x94
terrain water 77,1105 1x33
terrain water 329,1106 1x89
terrain water 284,1107 1x89
terrain water 283,1110 1x41
terrain water 330,1111 1x23
terrain water 76,1113 1x19
terrain water 282,1113 1x36
terrain water 331,1115 1x15
terrain water 281,1116 1x30
terrain water 280,1118 1x26
terrain water 75,1120 1x5
terrain water 332,1120 1x5
terrain water 279,1121 1x20
terrain water 87,1124 1x89
terrain water 278,1124 1x14
terrain water 277,1126 1x10
terrain water 276,1129 1x4
terrain water 88,1131 1x81
terrain water 89,1137 1x73
terrain water 330,1143 1x51
terrain water 90,1144 1x63
terrain water 331,1147 1x46
terrain water 91,1150 1x54
terrain water 332,1152 1x40
terrain water 283,1153 1x41
terrain water 333,1156 1x35
terrain water 92,1157 1x44
terrain water 334,1161 1x28
terrain water 93,1163 1x35
terrain water 282,1163 1x29
terrain water 335,1166 1x22
terrain water 94,1170 1x25
terrain water 336,1170 1x17
terrain water 281,1174 1x16
terrain water 337,1175 1x11
terrain water 338,1179 1x6
terrain water 95,1180 1x12
terrain water 280,1184 1x4
terrain water 83,1190 1x25
terrain water 82,1193 1x23
terrain water 81,1196 1x20
terrain water 80,1199 1x18
terrain water 79,1202 1x16
terrain water 78,1204 1x14
terrain water 76,1205 2x14
terrain water 75,1206 1x14
terrain water 73,1207 2x14
terrain water 71,1208 2x14
terrain water 70,1209 1x14
